,date,year,id,link,retweet,text,author
1903,12/2,2015,6.72E+17,/realDonaldTrump/status/672152791717158917,FALSE,California shooting looks very bad. Good luck to law enforcement and God bless. This is when our police are so appreciated!,DonaldTrump
1904,12/2,2015,6.72E+17,/realDonaldTrump/status/672149956208271360,FALSE,"Thank you CBS & Breitbart-total vindication! Will the mainstream media apologize? Many, many witnesses. #Trump2016http://www.breitbart.com/big-journalism/2015/12/02/trump-100-vindicated-cbs-reports-swarms-on-roofs-celebrating-911/åÊ‰Û_",DonaldTrump
1905,12/2,2015,6.72E+17,/realDonaldTrump/status/672148069027328001,FALSE,"I beat Hillary in the new @FoxNews Poll head to head.  SHE HAS NO STRENGTH OR STAMINA, both of which are needed to MAKE AMERICA GREAT AGAIN!",DonaldTrump
1906,12/1,2015,6.72E+17,/realDonaldTrump/status/671876653522505728,FALSE,The truth continues to come out after 14 years. A truth that many in the media did not want to tell. #Trump2016http://www.breitbart.com/big-journalism/2015/12/01/7-pieces-of-documentation-that-vindicate-trumps-claim-of-911-muslim-celebrations/åÊ‰Û_,DonaldTrump
1907,12/1,2015,6.72E+17,/realDonaldTrump/status/671876081012576257,TRUE,"""@ReversingASD: @CNN @CNNOpinion @realDonaldTrump Stupid ""opinion""! #Trump is Winning! why will he leave? dummy! pic.twitter.com/2gmWapqqOE""",DonaldTrump
1908,12/1,2015,6.72E+17,/realDonaldTrump/status/671825859762896899,TRUE,"""@Dollfinish: @AgsEliza @Citizens4Trump @realDonaldTrump ***Howard Stern Caller day after 9/11 https://www.youtube.com/attribution_link?a=f1yVJj7Igbk&u=%2Fwatch%3Fv%3Dw8KdmyCh7z8%26feature%3Dplayer_embeddedåÊ‰Û_ ‰Û_ ‰Û_""",DonaldTrump
1909,12/1,2015,6.72E+17,/realDonaldTrump/status/671807635759345665,FALSE,Just arrived in New Hampshire. Another packed venue! Will be fun.,DonaldTrump
1910,12/1,2015,6.72E+17,/realDonaldTrump/status/671792709292720129,FALSE,"You would think a paper like the Washington Post would be fair and objective. For the record, almost all polls showed I won all debates.",DonaldTrump
1911,12/1,2015,6.72E+17,/realDonaldTrump/status/671792600052027393,FALSE,"Highly untalented Wash Post blogger, Jennifer Rubin, a real dummy, never writes fairly about me. Why does Wash Post have low IQ people?",DonaldTrump
1912,12/1,2015,6.72E+17,/realDonaldTrump/status/671723475418144768,FALSE,What is Obama thinking? https://www.instagram.com/p/-wWVZemhfC/åÊ,DonaldTrump
1913,12/1,2015,6.72E+17,/realDonaldTrump/status/671716793195634688,FALSE,Curtis Sliwa - doing tv commentary on 9/13/2001. Good job Curtis. Please send your apologies to @realDonaldTrump.pic.twitter.com/g07VZmNmAW,DonaldTrump
1914,12/1,2015,6.72E+17,/realDonaldTrump/status/671710514007904256,FALSE,Look at the editorial I was just sent from the NY Post on 9/14/01 - 3 days after collapse of WTC. Any apologies?pic.twitter.com/b6DKEOk8Px,DonaldTrump
1915,12/1,2015,6.72E+17,/realDonaldTrump/status/671709367482347521,FALSE,"Jamiel Shaw was incredible on @foxandfriends this morning. His son, who was viciously killed by an illegal immigrant, is so proud of pop!",DonaldTrump
1916,12/1,2015,6.72E+17,/realDonaldTrump/status/671706994336768000,FALSE,I want to thank all my friends in Macon for the special evening and great reception. What a crowd of incredible people!,DonaldTrump
1917,11/30,2015,6.71E+17,/realDonaldTrump/status/671458994196758528,FALSE,Order signed copy of CRIPPLED AMERICA & have opportunity to submit question for my live streaming book signing 12/3http://livesigning.com/trump/welcomeåÊ,DonaldTrump
1918,11/30,2015,6.71E+17,/realDonaldTrump/status/671394946721685504,FALSE,We need a great leader- now! https://www.instagram.com/p/-uAgXOGhV1/åÊ,DonaldTrump
1919,11/30,2015,6.71E+17,/realDonaldTrump/status/671353097575362560,FALSE,"We better be vigilant, careful, and strong.https://m.youtube.com/watch?v=W5BtQgTGOI4åÊ‰Û_",DonaldTrump
1920,11/30,2015,6.71E+17,/realDonaldTrump/status/671348849647198208,FALSE,"The Republican establishment, out of self preservation, is concerned w/ my high poll #'s. More concerned are Dems‰ÛÓI beat Hillary heads up!",DonaldTrump
1921,11/30,2015,6.71E+17,/realDonaldTrump/status/671330229596659712,FALSE,"How is Chris Christie running the state of NJ, which is deeply troubled, when he is spending all of his time in NH? New Jerseyans not happy!",DonaldTrump
1922,11/30,2015,6.71E+17,/realDonaldTrump/status/671329839408930816,FALSE,"Wow, the MSM is really going after me. 12,000 in Sarasota, a love fest, hardly a mention. Only one negativity - they only want negatives!",DonaldTrump
1923,11/30,2015,6.71E+17,/realDonaldTrump/status/671316321443954688,TRUE,"""@wzpd8z: Mr. Trump, Chuck Todd is a moron, all kinds of youtube videos showing muslims celebrating 911. I would show it on your ads.""",DonaldTrump
1924,11/30,2015,6.71E+17,/realDonaldTrump/status/671308887178551296,FALSE,"When will @CNN get some real political talent rather than political commentators like Errol Louis, who doesn't have a clue! Others bad also.",DonaldTrump
1925,11/29,2015,6.71E+17,/realDonaldTrump/status/671162038136250368,TRUE,"""@BeckyOmz: @JuvenIle  @thehill We could use a new era of greatness! America needs to return to its place in the world--leading!""",DonaldTrump
1926,11/29,2015,6.71E+17,/realDonaldTrump/status/671140719629848576,TRUE,"""@lee_richter:  TRUMP will make America SAFE again...He will make America LEGAL again...He will make America GREAT again! #Trump2016 USA""",DonaldTrump
1927,11/29,2015,6.71E+17,/realDonaldTrump/status/671138957279776769,TRUE,"""@Antonio92692: @CNNPolitics @realDonaldTrump TRUMP IS THE SMARTEST AND BEST MAN TO SAVE AMERICA. pic.twitter.com/6pf1a0yDRa""  Thank you!",DonaldTrump
1928,11/29,2015,6.71E+17,/realDonaldTrump/status/671082260507066369,TRUE,"""@boogiefinger: @realDonaldTrump @meetthepress @chucktodd Chuck doesn't know that 100,000 x 2 = 200,000 pic.twitter.com/WZI8EbqZTi""",DonaldTrump
1929,11/29,2015,6.71E+17,/realDonaldTrump/status/671080580939964417,FALSE,Will be meeting on Monday at Trump Tower with a large group of African American Pastors. Many I know-wonderful people! Not a press event.,DonaldTrump
1930,11/29,2015,6.71E+17,/realDonaldTrump/status/671079078502514692,FALSE,Just watched Cookie Roberts on @ABC. Her predictions have been so wrong for so long that she has lost all credibility. Just another sad case,DonaldTrump
1931,11/29,2015,6.71E+17,/realDonaldTrump/status/670900180191993856,TRUE,"""@thatx209xguy: @realDonaldTrump @DailyCaller Trump is our last hope to make America great again. #Trump2016"" So true!",DonaldTrump
